卡号,消费额,付款方式,性别,年龄,物品
47914,44.5913,CASH,F,32,糖果
58154,49.1367,CHEQUE,M,50,肉罐头
35197,40.3398,CASH,M,38,冻肉
35197,40.3398,CASH,M,38,啤酒
35197,40.3398,CASH,M,38,白酒
35197,40.3398,CASH,M,38,鱼类
64892,38.9995,CASH,F,46,冻肉
64892,38.9995,CASH,F,46,白酒
102467,13.7623,CARD,F,48,蔬菜罐头
102467,13.7623,CARD,F,48,肉罐头
102467,13.7623,CARD,F,48,啤酒
102467,13.7623,CARD,F,48,白酒
56677,30.3099,CASH,F,42,水果
94105,10.3719,CARD,M,44,鲜肉
94105,10.3719,CARD,M,44,软饮料
44887,46.8983,CARD,M,41,水果
69720,13.7837,CARD,F,41,鲜肉
97267,33.0618,CHEQUE,F,19,鱼类
97267,33.0618,CHEQUE,F,19,糖果
53750,38.5113,CHEQUE,F,23,白酒
53750,38.5113,CHEQUE,F,23,糖果
109530,37.4844,CARD,M,30,鲜肉
109530,37.4844,CARD,M,30,啤酒
65493,26.7732,CASH,M,43,软饮料
96694,28.2755,CARD,M,28,蔬菜罐头
96694,28.2755,CARD,M,28,肉罐头
96694,28.2755,CARD,M,28,冻肉
96694,28.2755,CARD,M,28,啤酒
96694,28.2755,CARD,M,28,白酒
96694,28.2755,CARD,M,28,鱼类
46730,41.6178,CARD,F,35,水果
46730,41.6178,CARD,F,35,肉罐头
60499,11.8442,CASH,M,30,水果
60499,11.8442,CASH,M,30,鲜肉
73004,13.0578,CHEQUE,M,18,白酒
21787,19.5369,CASH,M,45,鱼类
28314,38.8062,CARD,F,37,冻肉
28314,38.8062,CARD,F,37,白酒
28314,38.8062,CARD,F,37,糖果
24651,32.1216,CASH,F,37,白酒
24651,32.1216,CASH,F,37,软饮料
24651,32.1216,CASH,F,37,糖果
29367,43.3149,CHEQUE,M,35,冻肉
15072,41.6457,CARD,M,34,冻肉
33622,39.2378,CASH,M,25,水果
33622,39.2378,CASH,M,25,啤酒
33622,39.2378,CASH,M,25,白酒
33622,39.2378,CASH,M,25,鱼类
42167,10.6201,CARD,F,35,鲜肉
42167,10.6201,CARD,F,35,白酒
42167,10.6201,CARD,F,35,软饮料
43550,10.5365,CASH,M,47,蔬菜罐头
43550,10.5365,CASH,M,47,冻肉
43550,10.5365,CASH,M,47,啤酒
43550,10.5365,CASH,M,47,软饮料
18724,49.1775,CASH,F,17,乳制品
18724,49.1775,CASH,F,17,啤酒
91019,48.4029,CARD,M,29,白酒
68193,15.7157,CARD,F,24,水果
35262,26.2512,CHEQUE,M,22,水果
35262,26.2512,CHEQUE,M,22,蔬菜罐头
35262,26.2512,CHEQUE,M,22,啤酒
35262,26.2512,CHEQUE,M,22,白酒
93401,45.7963,CARD,F,25,白酒
93401,45.7963,CARD,F,25,鱼类
93401,45.7963,CARD,F,25,糖果
15177,24.7919,CARD,F,46,糖果
96173,26.3483,CARD,F,31,软饮料
50180,35.5435,CASH,M,42,蔬菜罐头
50180,35.5435,CASH,M,42,肉罐头
50180,35.5435,CASH,M,42,软饮料
50180,35.5435,CASH,M,42,糖果
31828,30.426,CARD,M,17,乳制品
31828,30.426,CARD,M,17,肉罐头
31828,30.426,CARD,M,17,鱼类
62022,42.7131,CASH,F,40,白酒
62022,42.7131,CASH,F,40,糖果
105225,28.5341,CASH,M,35,水果
105225,28.5341,CASH,M,35,乳制品
105225,28.5341,CASH,M,35,糖果
64668,31.2009,CASH,M,49,乳制品
64668,31.2009,CASH,M,49,蔬菜罐头
64668,31.2009,CASH,M,49,肉罐头
64668,31.2009,CASH,M,49,冻肉
64668,31.2009,CASH,M,49,啤酒
64668,31.2009,CASH,M,49,软饮料
53320,46.27,CARD,M,39,肉罐头
53320,46.27,CARD,M,39,软饮料
53320,46.27,CARD,M,39,鱼类
15068,17.8948,CHEQUE,M,50,啤酒
99849,37.0252,CASH,F,17,水果
99849,37.0252,CASH,F,17,乳制品
63694,22.3043,CARD,F,29,水果
63694,22.3043,CARD,F,29,乳制品
63694,22.3043,CARD,F,29,蔬菜罐头
24874,35.938,CASH,F,46,水果
24874,35.938,CASH,F,46,鲜肉
24874,35.938,CASH,F,46,乳制品
24874,35.938,CASH,F,46,白酒
24874,35.938,CASH,F,46,糖果
104988,24.3263,CASH,M,39,肉罐头
84902,44.9991,CARD,M,50,冻肉
96512,37.8721,CARD,F,43,水果
96512,37.8721,CARD,F,43,啤酒
96512,37.8721,CARD,F,43,白酒
96512,37.8721,CARD,F,43,糖果
99575,19.2134,CARD,M,38,冻肉
99575,19.2134,CARD,M,38,鱼类
33413,37.9016,CASH,F,39,冻肉
33413,37.9016,CASH,F,39,白酒
33413,37.9016,CASH,F,39,糖果
57678,47.6595,CHEQUE,M,29,冻肉
89425,28.8615,CHEQUE,M,17,水果
89425,28.8615,CHEQUE,M,17,蔬菜罐头
89425,28.8615,CHEQUE,M,17,啤酒
89425,28.8615,CHEQUE,M,17,鱼类
60571,24.6707,CASH,F,29,冻肉
60571,24.6707,CASH,F,29,鱼类
76095,28.0024,CHEQUE,M,46,蔬菜罐头
76095,28.0024,CHEQUE,M,46,冻肉
76095,28.0024,CHEQUE,M,46,啤酒
88019,47.3606,CHEQUE,M,41,水果
30850,17.1818,CASH,F,34,水果
30850,17.1818,CASH,F,34,鱼类
66117,25.4945,CHEQUE,F,26,肉罐头
66117,25.4945,CHEQUE,F,26,鱼类
97377,28.263,CARD,F,24,啤酒
101722,15.7228,CHEQUE,M,31,鲜肉
101722,15.7228,CHEQUE,M,31,冻肉
101722,15.7228,CHEQUE,M,31,鱼类
44562,13.532,CHEQUE,F,50,冻肉
44562,13.532,CHEQUE,F,50,软饮料
85585,36.426,CARD,F,46,白酒
85585,36.426,CARD,F,46,软饮料
85585,36.426,CARD,F,46,糖果
97287,35.3706,CHEQUE,M,49,蔬菜罐头
97287,35.3706,CHEQUE,M,49,冻肉
97287,35.3706,CHEQUE,M,49,啤酒
97287,35.3706,CHEQUE,M,49,白酒
97287,35.3706,CHEQUE,M,49,鱼类
50150,39.5248,CASH,F,27,水果
50150,39.5248,CASH,F,27,白酒
50150,39.5248,CASH,F,27,软饮料
50150,39.5248,CASH,F,27,鱼类
67455,18.198,CARD,F,40,鲜肉
67455,18.198,CARD,F,40,啤酒
16350,31.8923,CARD,F,16,水果
16350,31.8923,CARD,F,16,鲜肉
42778,35.2808,CASH,M,17,乳制品
42778,35.2808,CASH,M,17,蔬菜罐头
42778,35.2808,CASH,M,17,冻肉
42778,35.2808,CASH,M,17,啤酒
42778,35.2808,CASH,M,17,软饮料
98181,16.351,CASH,F,24,乳制品
98181,16.351,CASH,F,24,软饮料
98181,16.351,CASH,F,24,糖果
106522,10.007,CHEQUE,M,22,蔬菜罐头
106522,10.007,CHEQUE,M,22,冻肉
106522,10.007,CHEQUE,M,22,啤酒
36278,43.0066,CASH,M,40,鲜肉
36278,43.0066,CASH,M,40,冻肉
36278,43.0066,CASH,M,40,软饮料
26130,12.6214,CHEQUE,F,45,蔬菜罐头
26130,12.6214,CHEQUE,F,45,白酒
57851,29.562,CASH,F,43,水果
57851,29.562,CASH,F,43,肉罐头
57851,29.562,CASH,F,43,啤酒
57851,29.562,CASH,F,43,糖果
81971,19.3672,CASH,M,17,水果
81971,19.3672,CASH,M,17,乳制品
81971,19.3672,CASH,M,17,蔬菜罐头
81971,19.3672,CASH,M,17,鱼类
57068,22.8535,CHEQUE,M,42,乳制品
69122,32.0161,CARD,M,34,乳制品
69122,32.0161,CARD,M,34,肉罐头
68489,22.5684,CHEQUE,F,18,冻肉
68489,22.5684,CHEQUE,F,18,鱼类
88359,23.0214,CARD,F,21,水果
88359,23.0214,CARD,F,21,鲜肉
88359,23.0214,CARD,F,21,糖果
44294,38.5314,CASH,M,18,乳制品
44294,38.5314,CASH,M,18,蔬菜罐头
44294,38.5314,CASH,M,18,冻肉
44294,38.5314,CASH,M,18,啤酒
95604,23.5058,CHEQUE,M,44,蔬菜罐头
95604,23.5058,CHEQUE,M,44,肉罐头
95604,23.5058,CHEQUE,M,44,冻肉
95604,23.5058,CHEQUE,M,44,啤酒
95604,23.5058,CHEQUE,M,44,白酒
95604,23.5058,CHEQUE,M,44,鱼类
103596,27.4252,CARD,F,26,肉罐头
103596,27.4252,CARD,F,26,软饮料
103473,25.0338,CHEQUE,F,26,肉罐头
103473,25.0338,CHEQUE,F,26,冻肉
94467,18.9589,CASH,M,49,蔬菜罐头
94467,18.9589,CASH,M,49,冻肉
94467,18.9589,CASH,M,49,啤酒
94467,18.9589,CASH,M,49,软饮料
94467,18.9589,CASH,M,49,鱼类
38097,37.1385,CASH,M,19,水果
38097,37.1385,CASH,M,19,蔬菜罐头
38097,37.1385,CASH,M,19,肉罐头
38097,37.1385,CASH,M,19,冻肉
38097,37.1385,CASH,M,19,啤酒
38097,37.1385,CASH,M,19,白酒
38097,37.1385,CASH,M,19,鱼类
49632,10.7717,CARD,M,21,蔬菜罐头
49632,10.7717,CARD,M,21,肉罐头
49632,10.7717,CARD,M,21,鱼类
49632,10.7717,CARD,M,21,糖果
82558,10.1074,CARD,F,22,鲜肉
82558,10.1074,CARD,F,22,啤酒
82558,10.1074,CARD,F,22,白酒
82558,10.1074,CARD,F,22,软饮料
50324,20.1004,CASH,M,16,鲜肉
50324,20.1004,CASH,M,16,软饮料
50324,20.1004,CASH,M,16,鱼类
38055,14.4497,CARD,F,25,水果
74876,18.2937,CASH,M,45,乳制品
74876,18.2937,CASH,M,45,啤酒
74876,18.2937,CASH,M,45,糖果
18079,24.816,CARD,M,32,乳制品
18079,24.816,CARD,M,32,白酒
16316,39.1701,CHEQUE,M,22,水果
16316,39.1701,CHEQUE,M,22,乳制品
16316,39.1701,CHEQUE,M,22,冻肉
16316,39.1701,CHEQUE,M,22,鱼类
37166,16.4835,CARD,F,23,水果
37166,16.4835,CARD,F,23,啤酒
37166,16.4835,CARD,F,23,鱼类
18334,42.4343,CASH,F,43,冻肉
18334,42.4343,CASH,F,43,白酒
18334,42.4343,CASH,F,43,糖果
102645,13.4218,CARD,F,23,蔬菜罐头
102645,13.4218,CARD,F,23,肉罐头
101100,18.9591,CARD,M,42,蔬菜罐头
101100,18.9591,CARD,M,42,冻肉
101100,18.9591,CARD,M,42,啤酒
101100,18.9591,CARD,M,42,白酒
64861,18.7711,CASH,M,49,乳制品
64861,18.7711,CASH,M,49,冻肉
64861,18.7711,CASH,M,49,啤酒
64861,18.7711,CASH,M,49,糖果
19041,14.6823,CARD,F,23,水果
19041,14.6823,CARD,F,23,鲜肉
19041,14.6823,CARD,F,23,蔬菜罐头
19041,14.6823,CARD,F,23,鱼类
85771,10.0455,CARD,F,36,肉罐头
85771,10.0455,CARD,F,36,白酒
85771,10.0455,CARD,F,36,糖果
79303,39.6497,CASH,M,19,水果
79303,39.6497,CASH,M,19,乳制品
79303,39.6497,CASH,M,19,鱼类
92675,44.5153,CHEQUE,F,47,鲜肉
71690,13.6361,CASH,F,18,水果
71690,13.6361,CASH,F,18,啤酒
71690,13.6361,CASH,F,18,软饮料
71690,13.6361,CASH,F,18,鱼类
86350,12.184,CARD,F,49,冻肉
86350,12.184,CARD,F,49,软饮料
88260,29.7785,CARD,F,34,乳制品
88260,29.7785,CARD,F,34,蔬菜罐头
86759,48.4566,CARD,F,34,蔬菜罐头
49861,38.8491,CASH,M,32,啤酒
21543,13.9176,CHEQUE,F,27,蔬菜罐头
21543,13.9176,CHEQUE,F,27,冻肉
21543,13.9176,CHEQUE,F,27,白酒
21543,13.9176,CHEQUE,F,27,软饮料
70481,31.7001,CHEQUE,M,30,蔬菜罐头
70481,31.7001,CHEQUE,M,30,啤酒
70481,31.7001,CHEQUE,M,30,软饮料
70481,31.7001,CHEQUE,M,30,鱼类
29944,42.8985,CASH,M,18,水果
29944,42.8985,CASH,M,18,冻肉
29944,42.8985,CASH,M,18,啤酒
29944,42.8985,CASH,M,18,软饮料
29944,42.8985,CASH,M,18,鱼类
46054,14.2814,CARD,M,46,鲜肉
46054,14.2814,CARD,M,46,蔬菜罐头
46054,14.2814,CARD,M,46,肉罐头
46054,14.2814,CARD,M,46,冻肉
46054,14.2814,CARD,M,46,啤酒
46054,14.2814,CARD,M,46,软饮料
46054,14.2814,CARD,M,46,糖果
61329,26.9282,CARD,F,49,水果
24566,39.4489,CARD,F,34,蔬菜罐头
24566,39.4489,CARD,F,34,肉罐头
24566,39.4489,CARD,F,34,白酒
24566,39.4489,CARD,F,34,鱼类
24566,39.4489,CARD,F,34,糖果
58768,18.0798,CHEQUE,F,16,白酒
58768,18.0798,CHEQUE,F,16,软饮料
71343,48.2751,CASH,M,38,蔬菜罐头
71343,48.2751,CASH,M,38,冻肉
71343,48.2751,CASH,M,38,啤酒
55418,20.8812,CARD,F,23,水果
18228,31.7275,CASH,M,41,蔬菜罐头
30243,30.3916,CASH,M,33,鲜肉
30243,30.3916,CASH,M,33,蔬菜罐头
30243,30.3916,CASH,M,33,肉罐头
30243,30.3916,CASH,M,33,冻肉
30243,30.3916,CASH,M,33,啤酒
30243,30.3916,CASH,M,33,白酒
30243,30.3916,CASH,M,33,糖果
59599,27.4881,CASH,F,28,肉罐头
59599,27.4881,CASH,F,28,冻肉
59599,27.4881,CASH,F,28,啤酒
61869,31.8011,CASH,M,46,水果
61869,31.8011,CASH,M,46,蔬菜罐头
61869,31.8011,CASH,M,46,冻肉
61869,31.8011,CASH,M,46,啤酒
61869,31.8011,CASH,M,46,白酒
10360,27.4012,CHEQUE,M,20,蔬菜罐头
10360,27.4012,CHEQUE,M,20,冻肉
10360,27.4012,CHEQUE,M,20,啤酒
10360,27.4012,CHEQUE,M,20,鱼类
83338,26.2061,CASH,M,41,肉罐头
39080,18.3878,CARD,F,36,蔬菜罐头
39080,18.3878,CARD,F,36,鱼类
84799,31.3192,CARD,M,21,鲜肉
84799,31.3192,CARD,M,21,肉罐头
51979,20.5285,CARD,M,16,蔬菜罐头
51979,20.5285,CARD,M,16,肉罐头
51979,20.5285,CARD,M,16,冻肉
51979,20.5285,CARD,M,16,啤酒
51979,20.5285,CARD,M,16,糖果
40505,43.0394,CARD,F,50,鲜肉
40505,43.0394,CARD,F,50,乳制品
40505,43.0394,CARD,F,50,白酒
40505,43.0394,CARD,F,50,糖果
37098,26.6378,CARD,F,37,水果
37098,26.6378,CARD,F,37,鲜肉
37098,26.6378,CARD,F,37,软饮料
29524,10.7127,CASH,F,37,蔬菜罐头
63452,17.8916,CASH,M,48,蔬菜罐头
63452,17.8916,CASH,M,48,肉罐头
63452,17.8916,CASH,M,48,冻肉
63452,17.8916,CASH,M,48,啤酒
20158,23.7441,CHEQUE,M,43,肉罐头
20158,23.7441,CHEQUE,M,43,鱼类
70182,11.3005,CARD,F,18,蔬菜罐头
70182,11.3005,CARD,F,18,冻肉
56034,41.2711,CASH,M,16,水果
56034,41.2711,CASH,M,16,鲜肉
56034,41.2711,CASH,M,16,蔬菜罐头
56034,41.2711,CASH,M,16,冻肉
56034,41.2711,CASH,M,16,啤酒
56034,41.2711,CASH,M,16,鱼类
44235,27.7268,CASH,F,41,乳制品
44235,27.7268,CASH,F,41,啤酒
44235,27.7268,CASH,F,41,白酒
44235,27.7268,CASH,F,41,糖果
96881,14.6112,CARD,M,39,蔬菜罐头
96881,14.6112,CARD,M,39,肉罐头
96881,14.6112,CARD,M,39,冻肉
96881,14.6112,CARD,M,39,啤酒
96881,14.6112,CARD,M,39,白酒
39884,31.2737,CASH,M,21,白酒
95141,45.3427,CARD,F,37,水果
95141,45.3427,CARD,F,37,白酒
95141,45.3427,CARD,F,37,糖果
28110,27.6974,CARD,M,21,冻肉
85259,40.9303,CARD,F,22,水果
85259,40.9303,CARD,F,22,冻肉
85259,40.9303,CARD,F,22,啤酒
14996,22.2591,CASH,M,17,鲜肉
14996,22.2591,CASH,M,17,乳制品
14996,22.2591,CASH,M,17,蔬菜罐头
14996,22.2591,CASH,M,17,冻肉
14996,22.2591,CASH,M,17,鱼类
14996,22.2591,CASH,M,17,糖果
55652,41.7166,CARD,M,20,水果
55652,41.7166,CARD,M,20,蔬菜罐头
55652,41.7166,CARD,M,20,冻肉
55652,41.7166,CARD,M,20,啤酒
55652,41.7166,CARD,M,20,鱼类
43964,29.4585,CASH,F,24,水果
43964,29.4585,CASH,F,24,蔬菜罐头
43964,29.4585,CASH,F,24,白酒
29310,49.8459,CASH,M,22,白酒
29310,49.8459,CASH,M,22,软饮料
21187,20.5744,CHEQUE,F,36,鲜肉
21187,20.5744,CHEQUE,F,36,啤酒
83536,31.9368,CASH,F,22,啤酒
83536,31.9368,CASH,F,22,软饮料
83536,31.9368,CASH,F,22,鱼类
95887,43.1964,CASH,M,27,蔬菜罐头
95887,43.1964,CASH,M,27,肉罐头
95887,43.1964,CASH,M,27,冻肉
95887,43.1964,CASH,M,27,啤酒
95887,43.1964,CASH,M,27,软饮料
88176,34.5366,CARD,F,31,乳制品
88176,34.5366,CARD,F,31,冻肉
88176,34.5366,CARD,F,31,白酒
88176,34.5366,CARD,F,31,软饮料
88176,34.5366,CARD,F,31,糖果
65418,38.6017,CASH,F,48,白酒
65418,38.6017,CASH,F,48,糖果
27766,40.0773,CARD,F,34,水果
27766,40.0773,CARD,F,34,啤酒
66191,37.5233,CASH,F,35,水果
66191,37.5233,CASH,F,35,乳制品
66191,37.5233,CASH,F,35,冻肉
66191,37.5233,CASH,F,35,啤酒
108764,44.6294,CASH,M,27,蔬菜罐头
108764,44.6294,CASH,M,27,冻肉
108764,44.6294,CASH,M,27,啤酒
108764,44.6294,CASH,M,27,白酒
108764,44.6294,CASH,M,27,鱼类
12782,31.3296,CHEQUE,F,31,蔬菜罐头
12782,31.3296,CHEQUE,F,31,啤酒
75118,31.7774,CHEQUE,F,49,肉罐头
58188,36.0631,CARD,M,19,水果
58188,36.0631,CARD,M,19,肉罐头
58188,36.0631,CARD,M,19,鱼类
95479,45.7417,CHEQUE,M,32,蔬菜罐头
95479,45.7417,CHEQUE,M,32,肉罐头
95479,45.7417,CHEQUE,M,32,白酒
95479,45.7417,CHEQUE,M,32,糖果
59439,20.7784,CASH,M,24,水果
59439,20.7784,CASH,M,24,啤酒
104903,34.4437,CASH,F,30,水果
104903,34.4437,CASH,F,30,白酒
104903,34.4437,CASH,F,30,糖果
44825,36.9448,CARD,F,50,鲜肉
44825,36.9448,CARD,F,50,鱼类
44825,36.9448,CARD,F,50,糖果
71887,30.067,CASH,M,46,鲜肉
71887,30.067,CASH,M,46,蔬菜罐头
71887,30.067,CASH,M,46,冻肉
71887,30.067,CASH,M,46,啤酒
71887,30.067,CASH,M,46,白酒
71887,30.067,CASH,M,46,鱼类
71887,30.067,CASH,M,46,糖果
18708,30.7868,CASH,F,35,蔬菜罐头
18708,30.7868,CASH,F,35,肉罐头
18708,30.7868,CASH,F,35,冻肉
18708,30.7868,CASH,F,35,啤酒
18708,30.7868,CASH,F,35,鱼类
74423,22.3177,CASH,F,18,啤酒
97967,11.5144,CASH,F,48,软饮料
97967,11.5144,CASH,F,48,鱼类
20386,39.8296,CHEQUE,F,32,乳制品
77218,38.2717,CARD,M,34,水果
77218,38.2717,CARD,M,34,蔬菜罐头
77218,38.2717,CARD,M,34,冻肉
77218,38.2717,CARD,M,34,啤酒
77218,38.2717,CARD,M,34,白酒
77218,38.2717,CARD,M,34,鱼类
84092,34.8497,CARD,F,48,水果
84092,34.8497,CARD,F,48,乳制品
84092,34.8497,CARD,F,48,冻肉
84092,34.8497,CARD,F,48,白酒
84092,34.8497,CARD,F,48,软饮料
84092,34.8497,CARD,F,48,鱼类
84092,34.8497,CARD,F,48,糖果
58914,28.9163,CARD,F,50,冻肉
16287,42.5534,CASH,F,16,水果
16287,42.5534,CASH,F,16,白酒
16287,42.5534,CASH,F,16,软饮料
16287,42.5534,CASH,F,16,糖果
86044,30.5434,CARD,M,30,蔬菜罐头
86044,30.5434,CARD,M,30,冻肉
86044,30.5434,CARD,M,30,啤酒
86044,30.5434,CARD,M,30,白酒
86044,30.5434,CARD,M,30,软饮料
36927,20.1812,CHEQUE,M,35,蔬菜罐头
36927,20.1812,CHEQUE,M,35,冻肉
36927,20.1812,CHEQUE,M,35,啤酒
36927,20.1812,CHEQUE,M,35,糖果
93304,42.4567,CARD,M,34,冻肉
93304,42.4567,CARD,M,34,糖果
66988,17.9591,CARD,M,43,蔬菜罐头
66988,17.9591,CARD,M,43,冻肉
66988,17.9591,CARD,M,43,啤酒
66988,17.9591,CARD,M,43,鱼类
55091,40.2274,CASH,M,19,肉罐头
55091,40.2274,CASH,M,19,啤酒
64215,17.0993,CASH,M,42,水果
64215,17.0993,CASH,M,42,蔬菜罐头
64215,17.0993,CASH,M,42,肉罐头
64215,17.0993,CASH,M,42,冻肉
64215,17.0993,CASH,M,42,啤酒
28629,44.8107,CASH,M,31,啤酒
28629,44.8107,CASH,M,31,糖果
98383,33.8642,CASH,M,32,蔬菜罐头
98383,33.8642,CASH,M,32,肉罐头
98383,33.8642,CASH,M,32,冻肉
98383,33.8642,CASH,M,32,糖果
107505,21.3633,CASH,F,32,糖果
99578,15.7681,CARD,M,27,肉罐头
99578,15.7681,CARD,M,27,软饮料
99578,15.7681,CARD,M,27,糖果
28979,35.8494,CHEQUE,F,21,蔬菜罐头
28979,35.8494,CHEQUE,F,21,白酒
28979,35.8494,CHEQUE,F,21,糖果
102733,28.5154,CASH,F,24,水果
102733,28.5154,CASH,F,24,鱼类
102733,28.5154,CASH,F,24,糖果
81690,37.3617,CARD,F,36,白酒
81690,37.3617,CARD,F,36,糖果
25405,36.4166,CARD,M,36,肉罐头
25405,36.4166,CARD,M,36,鱼类
85348,40.2677,CHEQUE,F,24,肉罐头
19915,40.0868,CASH,F,21,水果
19915,40.0868,CASH,F,21,肉罐头
19915,40.0868,CASH,F,21,鱼类
99387,10.6184,CASH,F,49,鲜肉
99387,10.6184,CASH,F,49,肉罐头
99387,10.6184,CASH,F,49,糖果
32380,11.1224,CARD,F,20,水果
32380,11.1224,CARD,F,20,蔬菜罐头
32380,11.1224,CARD,F,20,白酒
39914,36.7285,CARD,F,26,水果
39914,36.7285,CARD,F,26,乳制品
57952,35.1487,CHEQUE,F,48,蔬菜罐头
57952,35.1487,CHEQUE,F,48,白酒
57952,35.1487,CHEQUE,F,48,糖果
64239,27.5083,CARD,M,22,蔬菜罐头
64239,27.5083,CARD,M,22,冻肉
64239,27.5083,CARD,M,22,啤酒
64239,27.5083,CARD,M,22,白酒
64239,27.5083,CARD,M,22,软饮料
38014,23.331,CHEQUE,F,42,鲜肉
38014,23.331,CHEQUE,F,42,蔬菜罐头
38014,23.331,CHEQUE,F,42,肉罐头
38014,23.331,CHEQUE,F,42,冻肉
38014,23.331,CHEQUE,F,42,软饮料
21875,10.7267,CASH,F,17,水果
21875,10.7267,CASH,F,17,白酒
21875,10.7267,CASH,F,17,鱼类
37939,49.7316,CARD,M,18,水果
37939,49.7316,CARD,M,18,鲜肉
37939,49.7316,CARD,M,18,肉罐头
37939,49.7316,CARD,M,18,软饮料
109061,37.3485,CASH,F,50,鲜肉
109061,37.3485,CASH,F,50,白酒
109061,37.3485,CASH,F,50,糖果
100754,11.3294,CHEQUE,F,16,水果
100754,11.3294,CHEQUE,F,16,蔬菜罐头
100754,11.3294,CHEQUE,F,16,冻肉
100754,11.3294,CHEQUE,F,16,鱼类
28313,34.8889,CASH,F,48,水果
28313,34.8889,CASH,F,48,白酒
28313,34.8889,CASH,F,48,糖果
82753,37.5762,CHEQUE,F,42,水果
82753,37.5762,CHEQUE,F,42,鲜肉
82753,37.5762,CHEQUE,F,42,乳制品
82753,37.5762,CHEQUE,F,42,白酒
82753,37.5762,CHEQUE,F,42,糖果
105412,18.3099,CASH,M,29,啤酒
89233,37.6838,CARD,F,17,鲜肉
76777,43.748,CARD,F,28,白酒
76777,43.748,CARD,F,28,糖果
16220,34.7872,CHEQUE,M,33,蔬菜罐头
16220,34.7872,CHEQUE,M,33,冻肉
16220,34.7872,CHEQUE,M,33,啤酒
16220,34.7872,CHEQUE,M,33,软饮料
16220,34.7872,CHEQUE,M,33,糖果
17864,35.6562,CHEQUE,F,18,水果
17864,35.6562,CHEQUE,F,18,乳制品
17864,35.6562,CHEQUE,F,18,白酒
17864,35.6562,CHEQUE,F,18,鱼类
17864,35.6562,CHEQUE,F,18,糖果
87270,31.4868,CHEQUE,M,29,乳制品
87270,31.4868,CHEQUE,M,29,蔬菜罐头
87270,31.4868,CHEQUE,M,29,肉罐头
87270,31.4868,CHEQUE,M,29,白酒
34593,35.8231,CARD,M,50,乳制品
